Day,Date,Time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
Tuesday,16-08-2022,12:00:00,26,52,9,,5,37,7,51
Tuesday,16-08-2022,13:00:00,10,62,8,,2,53,7,50
Tuesday,16-08-2022,14:00:00,16,77,8,,2,52,7,50
Tuesday,16-08-2022,15:00:00,15,70,7,,2,51,8,49
Tuesday,16-08-2022,16:00:00,14,62,8,,2,52,8,50
Tuesday,16-08-2022,17:00:00,15,52,10,,4,55,8,52
Tuesday,16-08-2022,18:00:00,13,38,13,,4,56,8,51
Tuesday,16-08-2022,19:00:00,12,46,16,,3,58,7,51
Tuesday,16-08-2022,20:00:00,14,46,13,,5,57,6,52
Tuesday,16-08-2022,21:00:00,16,42,13,,4,58,6,55
Tuesday,16-08-2022,22:00:00,13,43,11,,2,60,7,55
Tuesday,16-08-2022,23:00:00,12,38,9,,1,57,7,56
Wednesday,17-08-2022,00:00:00,20,35,4,,1,52,9,56
Wednesday,17-08-2022,01:00:00,5,26,3,,2,48,8,56
Wednesday,17-08-2022,02:00:00,10,26,6,,3,48,8,55
Wednesday,17-08-2022,03:00:00,18,32,6,,1,47,8,54
Wednesday,17-08-2022,04:00:00,15,27,9,,1,47,5,53
Wednesday,17-08-2022,05:00:00,15,31,11,,0,51,5,52
Wednesday,17-08-2022,06:00:00,19,23,16,,0,53,6,51
Wednesday,17-08-2022,07:00:00,28,30,16,,1,57,7,51
Wednesday,17-08-2022,08:00:00,17,44,19,,1,60,8,51
Wednesday,17-08-2022,09:00:00,27,58,22,,4,64,10,53
Wednesday,17-08-2022,10:00:00,45,76,24,,6,70,8,55
Wednesday,17-08-2022,11:00:00,46,95,28,,8,74,8,58
Wednesday,17-08-2022,12:00:00,48,105,35,,12,69,8,61
Wednesday,17-08-2022,13:00:00,63,96,12,,7,55,7,61
Wednesday,17-08-2022,14:00:00,18,51,10,,3,54,7,62
Wednesday,17-08-2022,15:00:00,18,41,8,,4,52,8,62
Wednesday,17-08-2022,16:00:00,15,43,10,,4,60,8,62
Wednesday,17-08-2022,17:00:00,14,47,12,,7,62,9,62
Wednesday,17-08-2022,18:00:00,17,47,15,,18,62,9,62
Wednesday,17-08-2022,19:00:00,18,48,19,,8,66,10,62
Wednesday,17-08-2022,20:00:00,18,43,16,,8,69,8,61
Wednesday,17-08-2022,21:00:00,15,32,15,,5,66,7,61
Wednesday,17-08-2022,22:00:00,12,34,12,,3,63,5,62
Wednesday,17-08-2022,23:00:00,15,34,8,,3,60,7,62
Thursday,18-08-2022,00:00:00,12,34,10,,3,61,7,63
Thursday,18-08-2022,01:00:00,10,45,11,,5,47,8,62
Thursday,18-08-2022,02:00:00,10,32,13,,5,40,10,59
Thursday,18-08-2022,03:00:00,8,22,17,,6,38,9,57
Thursday,18-08-2022,04:00:00,13,22,25,,5,42,40,54
Thursday,18-08-2022,05:00:00,21,29,17,,4,49,77,52
Thursday,18-08-2022,06:00:00,21,36,22,,4,55,27,51
Thursday,18-08-2022,07:00:00,31,48,32,,5,68,6,51
Thursday,18-08-2022,08:00:00,39,60,30,,5,71,6,52
